City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
163,Akyab,MM,82.89,overcast clouds,20.15,92.9,Hotel Memory
164,Kununurra,AU,71.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
165,Vila Franca Do Campo,PT,72.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
166,Nantucket,US,75.31,fog,41.2835,-70.0995,Jared Coffin House
167,Sioux Lookout,CA,69.87,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
171,Ratnagiri,IN,80.11,overcast clouds,16.9833,73.3,Hotel Landmark
172,Samarai,PG,77.31,overcast clouds,-10.6167,150.6667,Nuli Sapi
174,Ordzhonikidzevskaya,RU,68.34,overcast clouds,43.3211,45.0522,Pvd Sop Uvd Po Mo
175,Imbituba,BR,65.86,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
176,Sidi Ali,DZ,73.89,clear sky,36.0998,0.4206,Complexe touristique haje bezine
180,Vanimo,PG,82.42,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
182,Bismarck,US,82.24,clear sky,46.8083,-100.7837,Bismarck Hotel and Conference Center
183,Denpasar,ID,82.06,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
184,Lompoc,US,79.02,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
185,Hamilton,US,75.83,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
186,Hasaki,JP,82.29,heavy intensity rain,35.7333,140.8333,Inubosaki Kanko Hotel
189,Atuona,PF,77.54,few clouds,-9.8,-139.0333,Villa Enata
190,Port Hedland,AU,71.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
191,Pochutla,MX,74.61,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
192,Kapuskasing,CA,68.09,few clouds,49.4169,-82.4331,Park Inn Motel
197,Shelburne,CA,65.19,clear sky,44.0787,-80.2041,The Retreat at the Farm
199,Makakilo City,US,84.52,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
200,Naukot,PK,84.47,overcast clouds,24.8587,69.4024,Rolak Sigrat Shop
201,Chegdomyn,RU,81.18,clear sky,51.1167,133.0167,Gostinitsa Bureya
205,Bubaque,GW,80.13,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
207,Umm Lajj,SA,82.54,few clouds,25.0213,37.2685,Moon light Furnished Units
209,Prince Albert,CA,75.15,broken clouds,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
210,Amla,IN,72.54,overcast clouds,21.9333,78.1167,L l ganeshkar
211,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
212,Coro,VE,76.12,clear sky,11.4045,-69.6734,Federal
213,Idlib,SY,70.54,clear sky,35.9306,36.6339,مركز تسيل للتجميل
214,Tura,IN,81.1,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
216,Kalmunai,LK,82.08,broken clouds,7.4167,81.8167,VS Villa
217,Cameta,BR,77.77,heavy intensity rain,-2.2444,-49.4958,Hotel San Juan
219,Saint Anthony,US,79.75,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
220,Atasu,KZ,77.56,clear sky,48.6814,71.6433,Dostyk
221,Townsville,AU,67.08,few clouds,-19.25,146.8,Rydges Southbank Townsville
224,Yelizovo,RU,78.94,clear sky,53.1873,158.3805,Kamchatskiy Stil' Hostel
225,Barao De Melgaco,BR,72.82,broken clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
227,Mayumba,GA,70.3,overcast clouds,-3.432,10.6554,LIKWALE LODGE
228,Marawi,PH,79.43,broken clouds,7.9986,124.2928,Derogongan Residence
229,Suez,EG,70.32,clear sky,29.9737,32.5263,Green House
231,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
234,Voykove,UA,72.32,clear sky,45.3826,36.4372,Yuzhnaya
237,Nouadhibou,MR,67.78,clear sky,20.931,-17.0347,El Medina
244,Wuchi,CN,74.62,broken clouds,29.3786,103.023,Guolin Inn
247,Dong Hoi,VN,83.64,overcast clouds,17.4833,106.6,Nam Long Hotel
253,Bengkulu,ID,77.85,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
255,Ariquemes,BR,74.97,few clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
256,Kolokani,ML,75.02,moderate rain,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
257,Lethem,GY,75.11,overcast clouds,3.3803,-59.7968,Savannah Inn
258,Batagay,RU,77.74,clear sky,67.6333,134.6333,Gostinitsa Ki'ileekh
259,Safaga,EG,83.23,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
261,Grand Gaube,MU,68.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
262,Abilene,US,84.42,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
265,Cozumel,MX,82.0,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
268,Katsuura,JP,75.22,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
269,Pringsewu,ID,82.83,scattered clouds,-5.3582,104.9744,Urban Style by Front One
270,Caravelas,BR,69.78,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
271,Kawalu,ID,76.68,overcast clouds,-7.3817,108.2082,West Jontor
272,Korla,CN,77.5,overcast clouds,41.7597,86.1469,Gulisitan Hotel
277,Delta,NG,72.66,overcast clouds,5.5,6.0,Prestige Hotel
279,Joshimath,IN,76.08,scattered clouds,30.5667,79.5667,Shivalik Camps & Resort
280,Fairbanks,US,70.02,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
283,Batman,TR,67.8,clear sky,37.8874,41.1322,Hotel Izgi Turhan
284,Veraval,IN,81.23,heavy intensity rain,20.9,70.3667,Lords Inn Somnath
285,Bontang,ID,81.84,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
286,Yerofey Pavlovich,RU,74.71,light rain,53.9667,121.9667,lounges and warm parking
287,Port Blair,IN,82.44,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
288,Shizunai,JP,70.16,overcast clouds,42.3339,142.3669,Shizunai Eclipse Hotel
290,Melchor De Mencos,GT,77.4,overcast clouds,17.0686,-89.1522,Xultun Farm
294,Sulangan,PH,83.77,overcast clouds,11.1373,123.7228,Maia's Beach Resort
297,Sao Miguel,BR,75.97,broken clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
299,Dwarka,IN,82.4,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
300,Kerouane,GN,68.97,overcast clouds,9.2667,-9.0167,Hotel Seka Seka
301,Solnechnyy,RU,71.73,broken clouds,50.7214,136.6319,Hotel complex Pastoral
302,Araquari,BR,71.06,overcast clouds,-26.3703,-48.7211,Zanella Jasper
305,Flin Flon,CA,74.08,clear sky,54.7682,-101.865,Victoria Inn Flin Flon
306,Faanui,PF,77.5,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
308,Sao Joao Da Barra,BR,71.76,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
309,Macas,EC,66.34,broken clouds,-2.3167,-78.1167,Casa Upano
312,Edson,CA,77.14,clear sky,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
313,Imeni Poliny Osipenko,RU,65.93,overcast clouds,52.4201,136.4853,Yubileynaya
314,Lata,PT,72.07,broken clouds,40.1629,-8.3327,Casa Maquia
317,Fuerte Olimpo,PY,83.68,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
318,Kenora,CA,70.77,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
319,Kismayo,SO,75.43,light rain,-0.3582,42.5454,Agan-Hotel
320,Ixtapa,MX,78.55,overcast clouds,20.7,-105.2,hotel la terminal
321,Namatanai,PG,84.45,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
323,Manavalakurichi,IN,79.14,broken clouds,8.1333,77.3,Jebinrio home
324,Kamensk-Uralskiy,RU,69.78,overcast clouds,56.4185,61.9329,Green Hall Hotel
327,Olinda,BR,74.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
330,Najran,SA,79.45,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
331,Havelock,US,82.38,few clouds,34.8791,-76.9013,Sherwood Motel
332,Pitimbu,BR,73.99,clear sky,-7.4706,-34.8086,Reserva do Abiaí
